"","names","mag","date","status","haz","hazard","namesiso","namesfull"
"1","Southwest Indian Ridge","(5.8M)","2020-08-18","active","green","earthquake","IND","IND"
"2","United States","(5.8M)","2020-08-16","active","green","earthquake","USA","USA"
"3","
									Off shore
								","(5.8M)","2020-08-15","active","green","earthquake",NA,"
									Off shore
								"
"4","United States","(5.7M)","2020-08-13","past","green","earthquake","USA","USA"
"5","Pakistan","(5.6M)","2020-08-12","past","green","earthquake","PAK","PAK"
"6","Philippines","(5.5M)","2020-08-12","past","green","earthquake","PHL","PHL"
"7","Tanzania","(6M)","2020-08-12","past","green","earthquake","TZA","TZA"
"8","Honduras","(5.7M)","2020-08-10","past","green","earthquake","HND","HND"
"9","Southwest Of Africa","(5.9M)","2020-08-09","past","green","earthquake",NA,"Southwest Of Africa"
"10","United States","(5.7M)","2020-08-09","past","green","earthquake","USA","USA"
"11","Philippines","(6.7M)","2020-08-18","active","orange","earthquake","PHL","PHL"
"12","GENEVIEVE-20","(241km/h)","2020-08-18","active","green","cyclone",NA,"GENEVIEVE-20"
"13","HIGOS-20","(93km/h)","2020-08-18","active","green","cyclone",NA,"HIGOS-20"
"14","FAUSTO-20","(65km/h)","2020-08-17","active","green","cyclone",NA,"FAUSTO-20"
"15","JOSEPHINE-20","(74km/h)","2020-08-16","active","green","cyclone",NA,"JOSEPHINE-20"
"16","TEN-E-20","(56km/h)","2020-08-16","active","green","cyclone",NA,"TEN-E-20"
"17","KYLE-20","(83km/h)","2020-08-16","active","green","cyclone",NA,"KYLE-20"
"18","ELIDA-20","(157km/h)","2020-08-13","past","green","cyclone",NA,"ELIDA-20"
"19","SIX-20","(83km/h)","2020-08-13","past","green","cyclone",NA,"SIX-20"
"20","JANGMI-20","(74km/h)","2020-08-10","past","green","cyclone",NA,"JANGMI-20"
"21","MEKKHALA-20","(130km/h)","2020-08-11","past","orange","cyclone",NA,"MEKKHALA-20"
"22","ISAIAS-20","(139km/h)","2020-08-05","past","orange","cyclone",NA,"ISAIAS-20"
"23","Italy","","2020-08-13","past","green","flood","ITA","ITA"
"24","Mexico","","2020-08-13","past","green","flood","MEX","MEX"
"25","Greece","","2020-08-10","past","green","flood","GRC","GRC"
"26","Nigeria","","2020-08-08","past","green","flood","NGA","NGA"
"27","Pakistan","","2020-08-07","past","green","flood","PAK","PAK"
"28","India","","2020-08-06","past","green","flood","IND","IND"
"29","Philippines","","2020-08-05","past","green","flood","PHL","PHL"
"30","Laos, Vietnam","","2020-08-04","past","green","flood",NA,"Laos, Vietnam"
"31","Sudan","","2020-08-01","past","green","flood","SDN","SDN"
"32","Yemen","","2020-08-01","past","green","flood","YEM","YEM"
"33","South Sudan","","2020-08-12","past","orange","flood","SSD","SSD"
"34","Indonesia","","2020-08-14","past","green","volcano","IDN","IDN"
"35","Italy","","2020-08-14","past","green","volcano","ITA","ITA"
"36","Papua New Guinea","","2020-08-03","past","green","volcano","PNG","PNG"
"37","Guatemala","","2020-07-29","past","green","volcano","GTM","GTM"
"38","Italy","","2020-07-20","past","green","volcano","ITA","ITA"
"39","Peru","","2020-06-29","past","green","volcano","PER","PER"
"40","Indonesia","","2020-06-22","past","green","volcano","IDN","IDN"
"41","Ecuador","","2020-06-10","past","green","volcano","ECU","ECU"
"42","Indonesia","","2020-05-29","past","green","volcano","IDN","IDN"
"43","Iceland","","2020-05-15","past","green","volcano","ISL","ISL"
"44","Indonesia","","2020-04-13","past","green","volcano","IDN","IDN"
"45"," Western Siberia","","2020","active","green","drought",NA," Western Siberia"
"46"," Central","","2019","past","green","drought",NA," Central"
"47"," Europe","","2020","active","green","drought",NA," Europe"
"48"," Western USA","","2020","active","green","drought","USA","USA"
"49"," Northern Caspian Sea","","2020","active","green","drought",NA," Northern Caspian Sea"
"50"," Western and Southern Australia","","2020","active","green","drought","AUS","AUS"
"51"," Rondonia ","","2019","past","orange","drought",NA," Rondonia "
"52"," Mainland Southeast Asia","","2019","past","orange","drought",NA," Mainland Southeast Asia"
"53"," Gran Chaco","","2019","past","orange","drought",NA," Gran Chaco"
"54"," Malawi ","","2020","active","orange","drought","MWI","MWI"
"55"," Cape Province (South Africa)","","2020","active","orange","drought","ZAF","ZAF"
"461","North Argentina","","2019","past","green","drought","ARG","ARG"
"511"," Mato Grosso (Brazil)","","2019","past","orange","drought","BRA","BRA"
"531","South Brazil","","2019","past","orange","drought","BRA","BRA"
"541"," North Mozambique","","2020","active","orange","drought","MOZ","MOZ"
