"","Country","M_GDP_2017","M_GDP_2018","M_GDP_2019","M_GDP_2020","M_GDP_2021","M_GDP_2019minus2020"
"1","USA",2.4,2.9,2.3,-6.1,4,-8.4
"2","Euro Area",2.5,1.9,1.2,-9.1,4.5,-10.3
"3","JPN",2.2,0.3,0.7,-6.1,2.5,-6.8
"4",NA,4.5,4.3,3.5,-2.5,4.6,-6
"5",NA,6.5,6.3,5.9,0.5,6.6,NA
"6","KHM",7,7.5,7.1,-1,6,-8.1
"7","CHN",6.8,6.6,6.1,1,6.9,-5.1
"8","FJI",5.4,3.5,1,-4.3,1.9,-5.3
"9","IDN",5.1,5.2,5,0,4.8,-5
"10","LAO",6.9,6.3,4.7,1,4.6,-3.7
"11","MYS",5.7,4.7,4.3,-3.1,6.9,-7.4
"12","MNG",5.3,6.9,4.8,-0.5,4.9,-5.3
"13","MMR",6.2,6.8,6.3,1.5,6,-4.8
"14","PNG",3.5,-0.8,6,-1.3,3.4,-7.3
"15","PHL",6.9,6.3,6,-1.9,6.2,-7.9
"16","SLB",3.7,3.9,2.7,-6.7,-0.3,-9.4
"17","THA",4.1,4.2,2.4,-5,4.1,-7.4
"18","TLS",-3.8,-0.8,3.4,-4.8,3.8,-8.2
"19","VNM",6.8,7.1,7,2.8,6.8,-4.2
"20",NA,4.1,3.3,2.2,-4.7,3.6,NA
"21","ALB",3.8,4.1,2.2,-5,8.8,-7.2
"22","ARM",7.5,5.2,7.6,-2.8,4.9,-10.4
"23","AZE",0.2,1.5,2.2,-2.6,2.2,-4.8
"24","BLR",2.5,3.1,1.2,-4,1,-5.2
"25","BIH",3.2,3.7,2.6,-3.2,3.4,-5.8
"26","BGR",3.5,3.1,3.4,-6.2,4.3,-9.6
"27","HRV",3.1,2.7,2.9,-9.3,5.4,-12.2
"28","GEO",4.8,4.8,5.1,-4.8,4,-9.9
"29","HUN",4.3,5.1,4.9,-5,4.5,-9.9
"30","KAZ",4.1,4.1,4.5,-3,2.5,-7.5
"31","Kosovo",4.2,3.8,4.2,-4.5,5.2,-8.7
"32","KGZ",4.7,3.8,4.5,-4,5.6,-8.5
"33","MDA",4.7,4.3,3.6,-3.1,4,-6.7
"34","MNE",4.7,5.1,3.6,-5.6,4.8,-9.2
"35","MKD",1.1,2.7,3.6,-2.1,3.9,-5.7
"36","POL",4.9,5.3,4.1,-4.2,2.8,-8.3
"37","ROU",7.1,4.4,4.1,-5.7,5.4,-9.8
"38","RUS",1.8,2.5,1.3,-6,2.7,-7.3
"39","SRB",2,4.4,4.2,-2.5,4,-6.7
"40","TJK",7.6,7.3,7.5,-2,3.7,-9.5
"41","TUR",7.5,2.8,0.9,-3.8,5,-4.7
"42","TKM",6.5,6.2,6.3,0,4,-6.3
"43","UKR",2.5,3.3,3.2,-3.5,3,-6.7
"44","UZB",4.5,5.4,5.6,1.5,6.6,-4.1
"45",NA,1.9,1.7,0.8,-7.2,2.8,NA
"46","ARG",2.7,-2.5,-2.2,-7.3,2.1,-5.1
"47","BLZ",1.9,2.1,0.3,-13.5,6.7,-13.8
"48","BOL",4.2,4.2,2.7,-5.9,2.2,-8.6
"49","BRA",1.3,1.3,1.1,-8,2.2,-9.1
"50","CHL",1.2,3.9,1.1,-4.3,3.1,-5.4
"51","COL",1.4,2.5,3.3,-4.9,3.6,-8.2
"52","CRI",3.9,2.7,2.1,-3.3,3,-5.4
"53","DMA",-9.5,0.5,9.6,-4,4,-13.6
"54","DOM",4.7,7,5.1,-0.8,2.5,-5.9
"55","ECU",2.4,1.3,0.1,-7.4,4.1,-7.5
"56","SLV",2.3,2.4,2.4,-5.4,3.8,-7.8
"57","GRD",4.4,4.2,3.1,-9.6,6.5,-12.7
"58","GTM",3,3.1,3.6,-3,4.1,-6.6
"59","GUY",2.1,4.1,4.7,51.1,8.1,46.4
"60","HTI",1.2,1.5,-0.9,-3.5,1,-2.6
"61","HND",4.8,3.7,2.7,-5.8,3.7,-8.5
"62","JAM",1,1.9,0.7,-6.2,2.7,-6.9
"63","MEX",2.1,2.2,-0.3,-7.5,3,-7.2
"64","NIC",4.6,-4,-3.9,-6.3,0.7,-2.4
"65","PAN",5.6,3.7,3,-2,4.2,-5
"66","PRY",5,3.4,0,-2.8,4.2,-2.8
"67","PER",2.5,4,2.2,-12,7,-14.2
"68","LCA",2.2,1.4,1.4,-8.8,8.3,-10.2
"69","VCT",1,2,0.4,-5.5,4,-5.9
"70","SUR",1.8,2.6,2.3,-5,3,-7.3
"71","URY",2.6,1.6,0.2,-3.7,4.6,-3.9
"72",NA,1.1,0.9,-0.2,-4.2,2.3,NA
"73","DZA",1.3,1.4,0.8,-6.4,1.9,-7.2
"74","BHR",4.3,1.8,1.8,-4.5,2.3,-6.3
"75","DJI",5.4,8.4,7.5,1.3,9.2,-6.2
"76","EGY",4.2,5.3,5.6,3,2.1,-2.6
"77","IRN",3.8,-4.7,-8.2,-5.3,2.1,2.9
"78","IRQ",-2.5,-0.6,4.4,-9.7,1.9,-14.1
"79","JOR",2.1,1.9,2,-3.5,2,-5.5
"80","KWT",-4.7,1.2,0.4,-5.4,1.1,-5.8
"81","LBN",0.9,-1.9,-5.6,-10.9,-6.3,-5.3
"82","MAR",4.2,3,2.3,-4,3.4,-6.3
"83","OMN",0.3,1.8,0.5,-4,2,-4.5
"84","QAT",1.6,1.5,-0.3,-3.5,3.6,-3.2
"85","SAU",-0.7,2.4,0.3,-3.8,2.5,-4.1
"86","TUN",1.9,2.7,1,-4,4.2,-5
"87","ARE",0.5,1.7,1.7,-4.5,1.4,-6.2
"88","PSE",1.4,1.2,0.9,-7.6,5.1,-8.5
"89",NA,6.5,6.5,4.7,-2.7,2.8,NA
"90","AFG",2.7,1.8,2.9,-5.5,1,-8.4
"91","BGD",7.3,7.9,8.2,1.6,1,-6.6
"92","BTN",6.3,3.8,3.9,1.5,1.8,-2.4
"93","IND",7,6.1,4.2,-3.2,3.1,-7.4
"94","MDV",6.8,6.9,5.2,-13,8.5,-18.2
"95","NPL",8.2,6.7,7,1.8,2.1,-5.2
"96","PAK",5.2,5.5,1.9,-2.6,-0.2,-4.5
"97","LKA",3.6,3.3,2.3,-3.2,0,-5.5
"98",NA,2.6,2.6,2.2,-2.8,3.1,NA
"99","AGO",-0.1,-2,-0.9,-4,3.1,-3.1
"100","BEN",5.8,6.7,6.9,3.2,6,-3.7
"101","BWA",2.9,4.5,3.5,-9.1,4.2,-12.6
