"","Country","C_GPI_Score"
"1","New Zealand",1.221
"2","Portugal",1.274
"3","Austria",1.291
"4","Denmark",1.316
"5","Canada",1.327
"6","Singapore",1.347
"7","Slovenia",1.355
"8","Japan",1.369
"9","Czech Republic",1.375
"10","Switzerland",1.383
"11","Ireland",1.39
"12","Australia",1.419
"13","Finland",1.488
"14","Bhutan",1.506
"15","Malaysia",1.529
"16","Netherlands",1.53
"17","Belgium",1.533
"18","Sweden",1.533
"19","Norway",1.536
"20","Hungary",1.54
"21","Germany",1.547
"22","Slovakia",1.55
"23","Mauritius",1.562
"24","Romania",1.606
"25","Bulgaria",1.607
"26","Chile",1.634
"27","Croatia",1.645
"28","Poland",1.654
"29","Botswana",1.676
"30","Qatar",1.696
"31","Spain",1.699
"32","Costa Rica",1.706
"33","Uruguay",1.711
"34","Latvia",1.718
"35","Taiwan",1.725
"36","Estonia",1.727
"37","Lithuania",1.728
"38","Italy",1.754
"39","Malawi",1.779
"40","Indonesia",1.785
"41","Mongolia",1.792
"42","Kuwait",1.794
"43","Ghana",1.796
"44","Laos",1.801
"45","United Kingdom",1.801
"46","Panama",1.804
"47","Timor-Leste",1.805
"48","Zambia",1.805
"49","Serbia",1.812
"50","Albania",1.821
"51","Sierra Leone",1.822
"52","United Arab Emirates",1.847
"53","Tanzania",1.86
"54","Madagascar",1.867
"55","South Korea",1.867
"56","Viet Nam",1.877
"57","Senegal",1.883
"58","Liberia",1.889
"59","France",1.892
"60","Namibia",1.892
"61","The Gambia",1.908
"62","Cyprus",1.914
"63","Kazakhstan",1.932
"64","Greece",1.933
"65","Macedonia",1.933
"66","Montenegro",1.939
"67","Moldova",1.951
"68","Oman",1.953
"69","Equatorial Guinea",1.957
"70","Ecuador",1.98
"71","Benin",1.986
"72","Sri Lanka",1.986
"73","Swaziland",1.986
"74","Argentina",1.989
"75","Nepal",2.003
"76","Angola",2.012
"77","Jordan",2.012
"78","Rwanda",2.014
"79","Peru",2.016
"80","Bosnia and Herzegovina",2.019
"81","Tunisia",2.035
"82","Jamaica",2.038
"83","Dominican Republic",2.041
"84","Bolivia",2.044
"85","Kosovo",2.049
"86","Haiti",2.052
"87","Paraguay",2.055
"88","Cambodia",2.066
"89","Morocco",2.07
"90","Cuba",2.073
"91","Guyana",2.075
"92","Trinidad and Tobago",2.094
"93","Mozambique",2.099
"94","Kyrgyz Republic",2.105
"95","Gabon",2.112
"96","Belarus",2.115
"97","Papua New Guinea",2.118
"98","Georgia",2.122
"99","Guinea",2.125
"100","Bangladesh",2.128
"101","Uzbekistan",2.166
"102","Lesotho",2.167
"103","Burkina Faso",2.176
"104","Tajikistan",2.196
"105","Uganda",2.196
"106","Cote dIvoire",2.203
"107","Togo",2.205
"108","Djibouti",2.207
"109","China",2.217
"110","Algeria",2.219
"111","Guinea-Bissau",2.237
"112","El Salvador",2.262
"113","Guatemala",2.264
"114","Turkmenistan",2.265
"115","Brazil",2.271
"116","Thailand",2.278
"117","Armenia",2.294
"118","Kenya",2.3
"119","Nicaragua",2.312
"120","Congo",2.323
"121","Mauritania",2.333
"122","Honduras",2.341
"123","Bahrain",2.357
"124","Myanmar",2.393
"125","Niger",2.394
"126","South Africa",2.399
"127","United States of America",2.401
"128","Saudi Arabia",2.409
"129","Azerbaijan",2.425
"130","Ethiopia",2.434
"131","Zimbabwe",2.463
"132","Eritrea",2.504
"133","Philippines",2.516
"134","Burundi",2.52
"135","Egypt",2.521
"136","Chad",2.522
"137","Cameroon",2.538
"138","Iran",2.542
"139","Mexico",2.6
"140","India",2.605
"141","Palestine",2.608
"142","Colombia",2.661
"143","Venezuela",2.671
"144","Mali",2.71
"145","Israel",2.735
"146","Lebanon",2.8
"147","Nigeria",2.898
"148","North Korea",2.921
"149","Ukraine",2.95
"150","Sudan",2.995
"151","Turkey",3.015
"152","Pakistan",3.072
"153","Russia",3.093
"154","Congo DR",3.218
"155","Libya",3.285
"156","Central African Republic",3.296
"157","Somalia",3.3
"158","Iraq",3.369
"159","Yemen",3.412
"160","South Sudan",3.526
"161","Syria",3.566
"162","Afghanistan",3.574
