"","Country","H_HIS_Score","H_HIS_Score_norm","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidproj_Current_Deaths","H_Covidproj_Projected_Deaths_-_Mean","H_Covidproj_Projected_Deaths_/_1M","H_Covidproj_Additional_Deaths_-_Mean","H_Covidproj_Additional_Deaths_(%_of_Current_Deaths)","H_Covidproj_Projected_Deaths_-_2.5th_Percentile","H_Covidproj_Projected_Deaths_-_97.5th_Percentile","H_Covidproj_Projected_Deaths_/_1M_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm"
"1","AFG",32.3,10,32.3,0,NA,NA,NA,NA,NA,NA,NA,NA,-26.890756302521,-40.3122782114975,0,0
"2","ALB",52.9,0,52.9,0,NA,NA,NA,NA,NA,NA,NA,NA,28,34.2939481268012,1.86666666666667,2.28626320845341
"3","DZA",23.6,10,23.6,0,1360,2211,51,851,63,1560,3740,0.76417004048583,-11.6129032258064,-14.4982740149982,0,0
"4","AND",30.5,10,30.5,0,NA,NA,NA,NA,NA,NA,NA,NA,Inf,42.2222222222222,10,2.81481481481481
"5","AGO",25.2,10,25.2,0,NA,NA,NA,NA,NA,NA,NA,NA,47.8260869565217,72.8337236533958,3.18840579710145,4.85558157689305
"6","ATG",29,10,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.6666666666667,NA,0
"7","ARG",58.6,0,58.6,0,5637,17679,395,12042,214,9836,29135,9.46862348178137,48.2274741506647,26.5746309079041,3.21516494337765,1.77164206052694
"8","ARM",50.2,0,50.2,0,NA,NA,NA,NA,NA,NA,NA,NA,-44.2477876106195,-41.4090582314881,0,0
"9","AUS",75.5,0,75.5,0,396,1434,57,1038,262,724,2999,0.915991902834008,118.292682926829,-1.50659133709981,7.88617886178862,0
"10","AUT",58.5,0,58.5,0,728,826,93,98,13,742,1072,1.82692307692308,25,15.7925407925408,1.66666666666667,1.05283605283605
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","AZE",34.2,10,34.2,0,NA,NA,NA,NA,NA,NA,NA,NA,-50.4761904761905,-61.1863057324841,0,0
