"","Country","D_IMF_debt2017","D_IMF_debt2018","D_IMF_debt2019","D_IMF_debt2020","D_IMF_debt2021","D_IMF_debt2020-2019"
"1","Afghanistan","-0.63","1.502","-1.0","-4.0","-2.0","-3.0"
"2","Albania","-1.392","-1.346","-2.0","-5.4","-3.1","-3.4"
"3","Algeria","-6.647","-4.468","-5.1","-15.0","-10.1","-9.9"
"4","Angola","-6.304","2.189","0.7","-6.0","-2.5","-6.7"
"5","Antigua and Barbuda","-2.841","-3.1","-3.7","-9.5","-5.6","-5.7"
"6","Argentina","-6.703","-5.493","-3.9","n/a","n/a","n/a"
"7","Armenia","-4.785","-1.755","-1.0","-5.0","-2.5","-4.0"
"8","Aruba","-2.987","-2.223","0.4","-15.7","-3.6","-16.1"
"9","Azerbaijan","-1.366","5.547","8.4","-12.8","-9.7","-21.2"
"10","The Bahamas","-5.358","-3.377","-1.7","-8.4","-7.0","-6.8"
"11","Bahrain","-14.234","-11.944","-10.6","-15.7","-11.9","-5.1"
"12","Bangladesh","-3.34","-4.641","-5.2","-6.4","-6.0","-1.2"
"13","Barbados","-4.285","-0.299","3.5","-0.6","1.0","-4.0"
"14","Belarus","-0.337","1.813","0.6","-4.6","-3.0","-5.3"
"15","Belize","-5.666","-0.97","-1.8","-5.2","-4.3","-3.3"
"16","Benin","-4.204","-2.974","-0.5","-2.8","-2.2","-2.3"
"17","Bhutan","-4.786","-3.287","0.6","-5.5","-5.9","-6.2"
"18","Bolivia","-7.824","-8.144","-7.0","-7.3","-6.9","-0.3"
"19","Bosnia and Herzegovina","1.814","1.658","2.2","-4.4","1.0","-6.6"
"20","Botswana","-1.054","-4.588","-6.2","-5.9","-3.1","0.3"
"21","Brazil","-7.86","-7.166","-6.0","-9.3","-6.1","-3.3"
"22","Brunei Darussalam","-10.623","-3.559","-10.5","-26.6","-21.6","-16.1"
"23","Bulgaria","0.826","0.123","-1.0","-2.9","-1.4","-2.0"
"24","Burkina Faso","-6.884","-4.355","-3.0","-5.0","-3.5","-2.0"
"25","Burundi","-7.201","-5.274","-6.0","-9.0","-6.8","-3.0"
"26","Cabo Verde","-2.972","-2.818","-1.8","-8.3","-4.3","-6.5"
"27","Cambodia","-0.775","0.717","0.4","-1.9","-1.7","-2.3"
"28","Cameroon","-4.872","-2.487","-2.3","-4.5","-3.6","-2.1"
"29","Central African Republic","-1.063","-0.972","1.4","-2.4","0.4","-3.8"
"30","Chad","-0.231","1.936","-0.2","-0.4","-2.2","-0.3"
"31","Chile","-2.621","-1.465","-2.6","-6.3","-3.5","-3.7"
"32","China","-3.835","-4.655","-6.4","-11.2","-9.6","-4.9"
"33","Colombia","-2.496","-4.676","-2.2","-2.5","-1.3","-0.3"
"34","Comoros","0.351","-1.038","-2.2","-3.8","-2.7","-1.5"
"35","Democratic Republic of the Congo","1.355","-0.048","-2.1","-1.2","-0.3","0.9"
"36","Republic of Congo","-7.387","6.617","5.8","5.7","6.1","-0.1"
"37","Costa Rica","-6.178","-5.905","-7.0","-7.8","-7.1","-0.8"
"38","Cote dIvoire","-3.333","-2.945","-2.3","-5.3","-2.5","-3.0"
"39","Croatia","0.752","0.234","0.0","-6.5","-2.6","-6.5"
"40","Djibouti","-4.53","-2.782","-0.8","-2.7","-1.7","-1.9"
"41","Dominica","0.272","-19.73","-9.2","-4.5","-0.6","4.6"
"42","Dominican Republic","-3.088","-2.16","-2.2","-4.4","-2.9","-2.2"
"43","Ecuador","-4.461","-3.132","-2.8","-7.0","-4.4","-4.2"
"44","Egypt","-10.429","-9.41","-7.4","-7.7","-6.6","-0.3"
"45","El Salvador","-2.392","-2.506","-2.9","-8.6","-4.6","-5.6"
"46","Equatorial Guinea","-2.59","0.51","1.7","-4.8","-2.4","-6.5"
"47","Eritrea","-6.037","4.212","-1.5","-5.0","-4.5","-3.5"
"48","Eswatini","-7.014","-11.159","-8.0","-8.9","-7.6","-0.9"
"49","Ethiopia","-3.243","-3.029","-2.5","-3.0","-3.4","-0.5"
"50","Fiji","-1.829","-5.515","-4.9","-10.6","-4.6","-5.7"
"51","Gabon","-1.699","-0.211","1.9","-2.7","-1.3","-4.6"
"52","The Gambia","-4.98","-6.197","-2.6","-2.4","-2.1","0.2"
"53","Georgia","-0.484","-0.817","-1.8","-7.5","-3.4","-5.7"
"54","Ghana","-4.061","-6.972","-7.4","-10.0","-5.4","-2.6"
"55","Grenada","3.014","4.581","4.9","-0.4","2.0","-5.4"
"56","Guatemala","-1.386","-1.891","-2.3","-4.4","-2.9","-2.2"
"57","Guinea","-2.059","-1.063","-0.5","-4.3","-4.1","-3.8"
"58","Guinea-Bissau","-1.321","-4.844","-4.9","-4.1","-3.9","0.8"
"59","Guyana","-4.322","-3.543","-4.7","-0.3","-1.7","4.4"
"60","Haiti","0.268","-1.719","-2.4","-5.1","-3.0","-2.8"
"61","Honduras","-0.408","0.198","0.1","0.0","-0.5","-0.1"
"62","Hungary","-2.456","-2.149","-2.0","-3.0","-1.6","-0.9"
"63","India","-6.361","-6.27","-7.4","-7.4","-7.3","0.0"
"64","Indonesia","-2.509","-1.75","-2.2","-5.0","-4.0","-2.8"
"65","Islamic Republic of Iran","-1.817","-1.897","-5.6","-9.8","-7.7","-4.2"
"66","Iraq","-1.619","7.893","-0.8","-22.3","-14.7","-21.5"
"67","Jamaica","0.453","1.181","0.2","-0.9","-0.2","-1.1"
"68","Jordan","-3.644","-4.737","-6.1","-6.7","-5.7","-0.6"
"69","Kazakhstan","-4.266","2.58","-0.6","-5.3","-2.7","-4.7"
"70","Kenya","-7.856","-7.365","-7.8","-7.7","-6.9","0.1"
"71","Kiribati","11.638","-1.148","8.8","-18.7","1.0","-27.5"
"72","Kosovo","-1.356","-2.859","-2.8","-4.8","-2.7","-2.0"
"73","Kuwait","6.266","9.045","4.8","-11.3","-14.1","-16.1"
"74","Kyrgyz Republic","-3.733","-0.59","-0.1","-9.6","-6.4","-9.5"
"75","Lao P.D.R.","-5.487","-4.663","-5.1","-6.2","-5.5","-1.1"
"76","Lebanon","-8.636","-11.287","-10.7","-15.3","n/a","-4.6"
"77","Lesotho","-4.034","-4.444","-3.8","-2.0","-7.0","1.8"
"78","Liberia","-4.792","-5.099","-5.4","-5.2","-4.1","0.1"
"79","Libya","-43.464","-0.194","8.8","-7.2","-19.1","-16.0"
