dimension,timeframe,indicator,prettyName
Food Security,underlying,F_Proteus_Score_norm,
Fragility and Conflict,underlying,Fr_FCV_normalised,
Health,underlying,H_HIS_Score_norm,HIS Score
Health,underlying,H_INFORM_rating.Value_norm,INFORM Rating
Macro Fiscal,underlying,M_EIU_Score_12m_norm,
Natural Hazard,underlying,NH_Hazard_Score_norm,
Natural Hazard,underlying,NH_multihazard_risk_norm,
Socioeconomic Vulnerability,underlying,S_INFORM_vul_norm,
Food Security,upcoming,F_Fewsnet_Score_norm,
Food Security,upcoming,F_fao_wfp_warning,
Food Security,upcoming,F_fpv_rating,
Fragility and Conflict,upcoming,Fr_fatal_z_norm,
Fragility and Conflict,upcoming,Fr_REIGN_Normalised,
Fragility and Conflict,upcoming,Fr_Displaced_UNHCR_Normalised,
Health,upcoming,H_Oxrollback_score_norm,Oxford Lockdown Rollback Index
Health,upcoming,H_Covidgrowth_casesnorm,"Covid Growth, Cases (biweekly)"
Health,upcoming,H_Covidgrowth_deathsnorm,"Covid Growth, Deaths (biweekly)"
Health,upcoming,H_new_cases_smoothed_per_million_norm,"New Covid Cases, per 1M"
Health,upcoming,H_new_deaths_smoothed_per_million_norm,"New Covid Deaths, per 1M"
Health,upcoming,H_GovernmentResponseIndexForDisplay_norm,Oxford Gov Response Index
Health,upcoming,H_health_acaps,ACAPS
Health,upcoming,H_wmo_don_alert,WMO Diseas Outbreak News
Macro Fiscal,upcoming,M_EIU_12m_change_norm,
Natural Hazard,upcoming,NH_seasonal_risk_norm,
Natural Hazard,upcoming,NH_INFORM_Crisis_Norm,
Natural Hazard,upcoming,NH_GDAC_Hazard_Score_Norm,
Natural Hazard,upcoming,NH_locust_norm,
Socioeconomic Vulnerability,upcoming,S_unemployment.Rating_norm,
Socioeconomic Vulnerability,upcoming,S_income_support.Rating_norm,
Socioeconomic Vulnerability,upcoming,S_pov_prop_19_20_norm,
Socioeconomic Vulnerability,upcoming,S_phone_average_index_norm,
