"","country","year_month","totalipc3pluspercfor","totalipc3plusabsfor"
"1","Afghanistan","2020_06",14.2246710293595,5174104.1919
"2","Burkina Faso","2020_06",0,0
"3","Chad","2020_06",3.78312432126023,620937.688
"4","Democratic Republic of Congo","2020_06",18.377129264881,16594749.7111
"5","Ethiopia","2020_06",13.3295332119167,14878387.0233
"6","Guatemala","2020_06",0,0
"7","Haiti","2020_06",30.0585952962843,3374648.54995
"8","Kenya","2020_06",0,0
"9","Malawi","2020_06",0,0
"10","Mali","2020_06",0,0
"11","Mauritania","2020_06",0,0
"12","Mozambique","2020_06",9.85915288188311,3138205.049
"13","Niger","2020_06",13.7993722416201,3354975.57323
"14","Nigeria","2020_06",2.0328055825412,4190259.38923
"15","Somalia","2020_06",55.116670579622,6819449.50305
"16","South Sudan","2020_06",92.9480684190499,13183279.83334
"17","Sudan","2020_06",12.7009866047859,5747949.03211
"18","Uganda","2020_06",0,0
"19","Yemen","2020_06",99.5311222369041,29701473.476682
"20","Zambia","2020_06",0,0
"21","Zimbabwe","2020_06",50.4331822939873,8808017.23224
