"","Country","M_Fuel_Imports_perc","M_Food_Imports_perc","M_Travel_Tourism_perc","M_Remittance_perc","M_Reserves","M_ODA_perc","M_Gsavings_perc"
"1","ABW",3,5,9,0,0.7,NA,4.9
"2","AFG",4,6,NA,3,1.7,8,4.4
"3","AGO",4,4,0,0,1.3,0,3.4
"4","ALB",0,4,5,4,0.9,3,4.2
"5","AND",3,5,NA,NA,NA,NA,NA
"6","ARB",3,4,NA,0,3.9,NA,3.4
"7","ARE",3,3,4,NA,NA,NA,NA
"8","ARG",3,3,4,0,0.7,0,4.4
"9","ARM",4,4,4,4,0.7,3,4.2
"10","ASM",NA,NA,NA,NA,NA,NA,NA
"11","ATG",0,5,8,0,0.5,NA,NA
"12","AUS",4,3,4,0,0.3,NA,3.8
"13","AUT",3,3,4,0,0.2,NA,3.1
"14","AZE",3,4,4,0,0.6,0,3.6
"15","BDI",4,4,0,0,0.2,NA,5.3
"16","BEL",4,3,3,0,0.1,NA,3.3
"17","BEN",4,7,3,0,NA,NA,4.6
"18","BFA",5,4,0,0,NA,6,4.2
"19","BGD",NA,NA,0,3,1.1,NA,2
"20","BGR",4,3,4,0,1.2,NA,3.2
"21","BHR",6,3,3,NA,0.2,NA,3.3
"22","BHS",NA,NA,7,NA,0.3,NA,3.5
"23","BIH",4,4,4,4,0.9,3,4.8
"24","BLR",5,4,3,0,0.3,0,3.2
"25","BLZ",4,5,7,0,0.5,3,4.9
"26","BMU",4,5,4,NA,NA,NA,NA
"27","BOL",4,3,3,0,1.5,NA,4.3
"28","BRA",4,3,3,0,2.4,0,4.5
"29","BRB",5,5,7,0,NA,NA,NA
"30","BRN",3,4,3,NA,1.3,NA,0
"31","BTN",NA,NA,NA,0,1.3,5,2.9
"32","BWA",4,4,4,0,1.5,0,1.9
"33","CAF",NA,NA,3,NA,NA,NA,NA
"34","CAN",3,3,3,0,0.2,NA,3.9
"35","CEB",3,3,NA,0,0.8,NA,3.6
"36","CHE",0,3,3,0,2.3,NA,2.4
"37","CHI",NA,NA,NA,NA,NA,NA,NA
"38","CHL",4,3,4,0,0.8,0,3.8
"39","CHN",4,3,4,0,2.4,NA,1.2
"40","CIV",5,5,3,0,NA,4,4.2
"41","CMR",NA,NA,3,0,0.5,6,4.1
"42","COD",NA,NA,0,0,0.1,NA,4.8
"43","COG",NA,NA,0,NA,0.2,NA,6.4
"44","COL",3,4,3,0,1.2,0,4.1
"45","COM",NA,NA,3,4,1,NA,5.1
"46","CPV",4,6,7,4,0.9,5,2.5
"47","CRI",4,4,4,0,0.6,0,4.4
"48","CSS",NA,NA,NA,3,1.1,NA,NA
"49","CUB",NA,NA,4,NA,NA,NA,NA
"50","CUW",NA,NA,NA,3,NA,NA,NA
"51","CYM",NA,NA,6,0,NA,NA,NA
"52","CYP",5,4,5,0,0,NA,4.6
"53","CZE",3,3,3,0,0.9,NA,3.1
"54","DEU",3,3,4,0,0.2,NA,2.9
"55","DJI",NA,NA,NA,0,0.7,NA,3.5
"56","DMA",NA,NA,6,3,1.1,NA,NA
"57","DNK",3,4,3,0,0.7,NA,2.9
"58","DOM",NA,NA,4,3,0.4,0,3.7
"59","DZA",NA,NA,3,0,3.2,NA,2
"60","EAP",4,3,NA,0,2.2,NA,1.5
"61","EAR",4,3,NA,0,2.4,NA,3.2
"62","EAS",4,3,NA,0,2,NA,2.3
"63","ECA",3,3,NA,0,1.5,NA,3.4
"64","ECS",4,3,NA,0,1.2,NA,3.5
"65","ECU",4,4,3,0,0.3,NA,3.2
"66","EGY",4,4,4,4,0.6,NA,4.9
"67","EMU",4,3,NA,0,0.3,NA,3.4
"68","ERI",NA,NA,NA,NA,NA,NA,NA
"69","ESP",4,4,4,0,0.2,NA,3.6
"70","EST",4,4,4,0,0,NA,3.3
