"","Country","S_% of respondents currently employed/working","S_% of respondents who have stopped working since COVID-19 outbreak","S_% able to access [staple food item] in the past 7 days when needed? - any staple food","S_% of HHs that saw reduced their remittances","S_% of HHs not able to perform normal farming activities (crop, livestock, fishing)","S_% of HHs able to pay rent for the next month","S_% of respondents who were not able to work as usual last week","S_Experienced decrease in wage income (% HHs with wage income as a source of livelihood in the past 12 months)","S_% of HHs that experienced change in total income - decrease","S_% of HHs used money saved for emergencies to cover basic living expenses","S_% of respondents received government assistance when experiencing labor income/job loss","S_% of HHs sold assets such as property during the pandemic in order to pay for basic living expenses","S_In the last 30 days, you skipped a meal because there was not enough money or other resources for food?(%)","S_In the last 30 days, your household worried about running out of food because of a lack of money or other resources?(%)","S_% of respondents currently employed/working_norm","S_% of respondents who have stopped working since COVID-19 outbreak_norm","S_% able to access [staple food item] in the past 7 days when needed? - any staple food_norm","S_% of HHs that saw reduced their remittances_norm","S_% of HHs not able to perform normal farming activities (crop, livestock, fishing)_norm","S_% of HHs able to pay rent for the next month_norm","S_% of respondents who were not able to work as usual last week_norm","S_Experienced decrease in wage income (% HHs with wage income as a source of livelihood in the past 12 months)_norm","S_% of HHs that experienced change in total income - decrease_norm","S_% of HHs used money saved for emergencies to cover basic living expenses_norm","S_% of respondents received government assistance when experiencing labor income/job loss_norm","S_% of HHs sold assets such as property during the pandemic in order to pay for basic living expenses_norm","S_In the last 30 days, you skipped a meal because there was not enough money or other resources for food?(%)_norm","S_In the last 30 days, your household worried about running out of food because of a lack of money or other resources?(%)_norm","S_phone_average_index","S_phone_average_index_norm"
"1","BFA",80.3480834960938,11.5633335113525,96.7287368774414,49.4601745605469,9.91870498657227,69.2106246948242,8.3205623626709,NA,NA,NA,NA,NA,NA,NA,10,2.31266670227051,1.6356315612793,7.06573922293527,3.96748199462891,6.15787506103516,3.32822494506836,NA,NA,NA,NA,NA,NA,NA,4.92394564103107,4.87324273505179
"2","BGR",80.3749237060547,19.6250762939453,NA,NA,NA,NA,19.6250762939453,21.7711334228516,28.6012802124023,24.628662109375,11.2589492797852,NA,NA,NA,10,3.92501525878906,NA,NA,NA,NA,7.85003051757812,4.35422668457031,5.72025604248047,9.85146484375,9.16547342936198,NA,NA,NA,7.26663811093285,8.77773018488808
"3","BOL",56.3211975097656,NA,97.8341369628906,NA,NA,52.7777786254883,15.560640335083,NA,NA,16.7824401855469,NA,0.75020843744278,21.7004718780518,NA,8.04588535853795,NA,1.08293151855469,NA,NA,9.44444427490234,6.2242561340332,NA,NA,6.71297607421875,NA,0.37510421872139,4.34009437561035,NA,5.1750988506541,5.29183141775683
"4","CAF",54.9117317199707,33.1587448120117,92.2842254638672,58.6993713378906,NA,NA,29.6867427825928,NA,NA,13.7062292098999,4.30861234664917,25.9224414825439,NA,NA,7.84453310285296,6.63174896240234,3.85788726806641,8.38562447684152,NA,NA,10,NA,NA,5.48249168395996,10,10,NA,NA,7.7752856867654,9.625476144609
"5","CHL",46.9174385070801,NA,97.8209838867188,NA,NA,77.8831481933594,5.2513747215271,NA,NA,4.07339429855347,NA,0.701427936553955,6.80513620376587,NA,6.70249121529715,NA,1.08950805664062,NA,NA,4.42337036132812,2.10054988861084,NA,NA,1.62935771942139,NA,0.350713968276978,1.36102724075317,NA,2.52243120718975,0.87071867864959
"6","COD",48.439998626709,41.6937980651855,98.377571105957,NA,NA,NA,27.3883399963379,NA,NA,59.06298828125,31.1881637573242,24.3717346191406,64.3727264404297,83.8379669189453,6.91999980381557,8.33875961303711,0.811214447021484,NA,NA,NA,10,NA,NA,10,6.50824483235677,10,10,10,8.06424652180344,10
"7","COL",42.4739418029785,NA,94.3451538085938,NA,NA,54.3167953491211,7.15934038162231,NA,NA,11.1337032318115,NA,2.7797908782959,32.2413635253906,NA,6.06770597185407,NA,2.82742309570312,NA,NA,9.13664093017578,2.86373615264893,NA,NA,4.45348129272461,NA,1.38989543914795,6.44827270507812,NA,4.7410222267618,4.56837037793633
"8","CRI",55.5552368164062,NA,95.0122604370117,NA,NA,60.2315559387207,5.15667676925659,NA,NA,6.43359851837158,NA,2.5819833278656,14.4421520233154,NA,7.93646240234375,NA,2.49386978149414,NA,NA,7.95368881225586,2.06267070770264,NA,NA,2.57343940734863,NA,1.2909916639328,2.88843040466309,NA,3.8856504542487,3.14275075708117
"9","DJI",58.578239440918,26.8078327178955,83.6820449829102,NA,NA,NA,8.7507152557373,16.4955062866211,NA,NA,41.4699096679688,NA,NA,NA,8.36831992013114,5.3615665435791,8.15897750854492,NA,NA,NA,3.50028610229492,3.29910125732422,NA,NA,5.13734537760417,NA,NA,NA,5.63759945157974,6.06266575263291
"10","DOM",45.8694686889648,NA,93.1447906494141,NA,NA,50.085075378418,5.78239488601685,NA,NA,6.33516454696655,NA,0.415686786174774,34.8234100341797,NA,6.55278124128069,NA,3.42760467529297,NA,NA,9.98298492431641,2.31295795440674,NA,NA,2.53406581878662,NA,0.207843393087387,6.96468200683594,NA,4.56898857342954,4.28164762238256
"11","ECU",50.9776878356934,NA,94.6324844360352,NA,NA,48.5364379882812,5.22333478927612,NA,NA,7.52112579345703,NA,1.56498515605927,28.5152015686035,NA,7.28252683367048,NA,2.68375778198242,NA,NA,10,2.08933391571045,NA,NA,3.00845031738281,NA,0.782492578029633,5.7030403137207,NA,4.50708596292807,4.17847660488012
"12","EGY",59.2424850463867,40.7575149536133,98.0634155273438,NA,NA,NA,58.8444404602051,NA,NA,NA,2.18577265739441,NA,NA,NA,8.46321214948382,8.15150299072266,0.968292236328125,NA,NA,NA,10,NA,NA,NA,10,NA,NA,NA,7.51660147530692,9.1943357921782
"13","ETH",85.5794982910156,NA,84.7896728515625,6.29500675201416,NA,NA,9.8113956451416,24.6520481109619,NA,9.85545349121094,1.81901943683624,0.522200882434845,38.9392013549805,56.8536529541016,10,NA,7.60516357421875,0.899286678859166,NA,NA,3.92455825805664,4.93040962219238,NA,3.94218139648438,10,0.261100441217422,7.78784027099609,10,5.93505402420248,6.5584233736708
"14","GAB",39.113338470459,60.8866577148438,NA,NA,9.42373657226562,NA,NA,41.8819236755371,63.0724067687988,NA,44.7653884887695,NA,67.6579971313477,68.6990966796875,5.58761978149414,10,NA,NA,3.76949462890625,NA,NA,8.37638473510742,10,NA,4.6979482014974,NA,10,10,7.80393091837565,9.67321819729275
"15","GHA",71.1406860351562,28.8593139648438,95.3272705078125,NA,9.31349277496338,NA,79.0000686645508,54.9976654052734,77.3695449829102,47.2842979431152,2.12445402145386,14.7010593414307,38.9936027526855,44.495735168457,10,5.77186279296875,2.33636474609375,NA,3.72539710998535,NA,10,10,10,10,10,7.35052967071533,7.79872055053711,8.89914703369141,7.99016849199931,9.98361415333218
"16","GTM",62.1771697998047,NA,98.4484939575195,NA,NA,70.5849380493164,8.39328575134277,NA,NA,5.53437376022339,NA,3.02510476112366,18.7937164306641,NA,8.88245282854353,NA,0.775753021240234,NA,NA,5.88301239013672,3.35731430053711,NA,NA,2.21374950408936,NA,1.51255238056183,3.75874328613281,NA,3.76908253017737,2.94847088362895
"17","HND",47.8453025817871,NA,94.5481414794922,NA,NA,48.4238052368164,7.56742715835571,NA,NA,5.47500467300415,NA,2.81664776802063,31.3378849029541,NA,6.83504322596959,NA,2.72592926025391,NA,NA,10,3.02697086334229,NA,NA,2.19000186920166,NA,1.40832388401031,6.26757698059082,NA,4.63626372619551,4.39377287699252
"18","HRV",70.3912506103516,29.6087474822998,NA,NA,NA,NA,NA,NA,28.6172981262207,NA,3.99735713005066,39.6965217590332,NA,81.3916091918945,10,5.92174949645996,NA,NA,NA,NA,NA,NA,5.72345962524414,NA,10,10,NA,10,8.60753485361735,10
"19","IDN",76.6226806640625,23.3773174285889,97.1297912597656,74.3155288696289,21.9838600158691,NA,25.4492321014404,57.9964637756348,NA,NA,71.4216766357422,NA,NA,NA,10,4.67546348571777,1.43510437011719,10,8.79354400634766,NA,10,10,NA,NA,1.14377644856771,NA,NA,NA,7.00598603884379,8.34331006473965
"20","KEN",12.1750192642212,61.6628456115723,NA,NA,NA,NA,NA,NA,NA,38.7742462158203,2.44530892372131,11.2367916107178,NA,67.3725814819336,1.73928846631731,10,NA,NA,NA,NA,NA,NA,NA,10,10,5.61839580535889,NA,10,7.8929473786127,9.8215789643545
"21","KHM",70.8815689086914,13.9784736633301,99.4088439941406,74.7147750854492,4.9955415725708,NA,4.5732889175415,75.301025390625,NA,20.0465259552002,9.85770702362061,16.6955299377441,NA,NA,10,2.79569473266602,0.295578002929688,10,1.99821662902832,NA,1.8293155670166,10,NA,8.01861038208008,9.35230573018392,8.34776496887207,NA,NA,6.26374860127767,7.10624766879612
"22","LAO",69.9425430297852,12.7764568328857,NA,53.9122161865234,7.3691463470459,NA,8.20167350769043,31.1832466125488,47.7345504760742,18.7157325744629,NA,1.26826882362366,NA,NA,9.99179186139788,2.55529136657715,NA,7.70174516950335,2.94765853881836,NA,3.28066940307617,6.23664932250977,9.54691009521484,7.48629302978516,NA,0.634134411811829,NA,NA,5.59790479985494,5.99650799975824
"23","MDG",76.7915344238281,7.82862520217896,79.8725738525391,NA,NA,NA,NA,52.0266342163086,NA,NA,3.38188338279724,NA,23.470085144043,62.9699592590332,10,1.56572504043579,10,NA,NA,NA,NA,10,NA,NA,10,NA,4.69401702880859,10,8.03710600989205,10
"24","MEX",51.5369834899902,NA,98.3937835693359,NA,NA,74.6943511962891,7.90701723098755,NA,NA,5.06815910339355,NA,2.07922458648682,12.1930875778198,NA,7.36242621285575,NA,0.803108215332031,NA,NA,5.06112976074219,3.16280689239502,NA,NA,2.02726364135742,NA,1.03961229324341,2.43861751556396,NA,3.12785207592711,1.87975345987852
"25","MLI",60.3731079101562,NA,99.8462448120117,76.7995681762695,12.741400718689,NA,6.67749547958374,39.7933387756348,NA,NA,NA,NA,10.526556968689,46.5401306152344,8.62472970145089,NA,0.0768775939941406,10,5.09656028747559,NA,2.6709981918335,7.95866775512695,NA,NA,NA,NA,2.10531139373779,9.30802612304688,5.73014638083322,6.21691063472203
"26","MMR",34.5447425842285,56.5774917602539,98.4867477416992,72.0336380004883,45.6102485656738,NA,0.451827108860016,NA,53.4567489624023,34.0132522583008,NA,9.11894607543945,NA,51.741153717041,4.93496322631836,10,0.756626129150391,10,10,NA,0.180730843544005,NA,10,10,NA,4.55947303771973,NA,10,7.04317932367325,8.40529887278875
"27","MNG",53.3907699584961,18.8920402526855,NA,NA,2.33859539031982,NA,10.033597946167,37.6308135986328,NA,5.38162231445312,80.8881225585938,2.87603330612183,19.7489356994629,31.6444282531738,7.62725285121373,3.77840805053711,NA,NA,0.93543815612793,NA,4.0134391784668,7.52616271972656,NA,2.15264892578125,0,1.43801665306091,3.94978713989258,6.32888565063477,3.77500393254416,2.9583398875736
"28","MWI",69.0046615600586,11.6702728271484,71.998893737793,80.5778579711914,10.2879962921143,NA,17.5878028869629,86.1440734863281,80.5608673095703,NA,2.70268321037292,NA,71.2095108032227,70.6451034545898,9.85780879429409,2.33405456542969,10,10,4.1151985168457,NA,7.03512115478516,10,10,NA,10,NA,10,10,8.48565300285042,10
"29","NGA",80.6768112182617,NA,79.4695205688477,NA,NA,62.992073059082,15.5628709793091,NA,NA,27.7340087890625,NA,11.1684122085571,NA,NA,10,NA,10,NA,NA,7.40158538818359,6.22514839172363,NA,NA,10,NA,5.58420610427856,NA,NA,8.20182331403097,10
