"","Country","Proteus.index"
"1","Somalia",0.775
"2","South Sudan",0.752
"3","Haiti",0.701
"4","Central African Republic",0.695
"5","Eritrea",0.677
"6","Afghanistan",0.661
"7","Chad",0.648
"8","Ethiopia",0.646
"9","Madagascar",0.635
"10","Congo DR",0.629
"11","Papua New Guinea",0.607
"12","Niger",0.606
"13","Yemen",0.604
"14","Uganda",0.593
"15","Kenya",0.593
"16","Mozambique",0.592
"17","Zimbabwe",0.581
"18","Malawi",0.577
"19","Sudan",0.576
"20","Congo",0.576
"21","Burundi",0.573
"22","Angola",0.569
"23","Liberia",0.565
"24","Tanzania",0.564
"25","Sierra Leone",0.561
"26","Cambodia",0.548
"27","Timor-Leste",0.547
"28","Namibia",0.546
"29","Solomon Islands",0.54
"30","Rwanda",0.537
"31","Nepal",0.536
"32","Guinea",0.527
"33","Lesotho",0.524
"34","Burkina Faso",0.524
"35","Zambia",0.522
"36","Togo",0.521
"37","Lao PDR",0.52
"38","Guinea-Bissau",0.52
"39","Korea DPR",0.519
"40","Benin",0.518
"41","Nigeria",0.513
"42","Djibouti",0.503
"43","Mali",0.502
"44","Vanuatu",0.502
"45","Comoros",0.502
"46","Sao Tome and Principe",0.501
"47","Cameroon",0.498
"48","Mauritania",0.498
"49","Bolivia",0.496
"50","Bangladesh",0.494
"51","Swaziland",0.489
"52","Gambia",0.472
"53","Senegal",0.467
"54","Cote dIvoire",0.463
"55","Mongolia",0.459
"56","Philippines",0.459
"57","India",0.458
"58","Ghana",0.458
"59","Myanmar",0.454
"60","Bhutan",0.45
"61","Botswana",0.448
"62","Nicaragua",0.442
"63","Peru",0.436
"64","Pakistan",0.435
"65","Gabon",0.434
"66","Guatemala",0.43
"67","Cabo Verde",0.424
"68","Syria",0.416
"69","Honduras",0.415
"70","Iraq",0.405
"71","Tajikistan",0.405
"72","Kiribati",0.399
"73","Sri Lanka",0.395
"74","Suriname",0.389
"75","Viet Nam",0.389
"76","Dominica",0.388
"77","South Africa",0.385
"78","Equatorial Guinea",0.384
"79","Paraguay",0.379
"80","Indonesia",0.377
"81","Ecuador",0.373
"82","Panama",0.371
"83","Colombia",0.37
"84","Venezuela",0.37
"85","El Salvador",0.366
"86","Georgia",0.364
"87","Fiji",0.363
"88","Belize",0.353
"89","Guyana",0.353
"90","Moldova",0.35
"91","Dominican Republic",0.35
"92","Tonga",0.347
"93","St. Vincent and The Grenadines",0.345
"94","Cuba",0.339
"95","Azerbaijan",0.335
"96","Jamaica",0.334
"97","St. Kitts and Nevis",0.326
"98","Serbia",0.321
"99","West Bank and Gaza",0.317
"100","Kyrgyzstan",0.314
"101","Brazil",0.314
"102","Macedonia",0.309
"103","Bahamas",0.308
"104","Thailand",0.307
"105","Morocco",0.304
"106","Libya",0.301
"107","Chile",0.301
"108","Albania",0.3
"109","Costa Rica",0.3
"110","Lebanon",0.299
"111","Turkmenistan",0.295
"112","Uzbekistan",0.294
"113","Bosnia and Herzegovina",0.293
"114","Mexico",0.293
"115","Oman",0.293
"116","Samoa",0.292
"117","Uruguay",0.289
"118","Algeria",0.282
"119","Iran",0.282
"120","China",0.28
"121","Maldives",0.28
"122","Trinidad and Tobago",0.279
"123","Puerto Rico",0.275
"124","Armenia",0.271
"125","Russian Federation",0.266
"126","Jordan",0.264
"127","Romania",0.261
"128","Bulgaria",0.259
"129","Saudi Arabia",0.258
"130","Malaysia",0.256
"131","Ukraine",0.254
"132","Lithuania",0.253
"133","Argentina",0.253
"134","Estonia",0.252
"135","Seychelles",0.25
"136","Japan",0.249
"137","Cyprus",0.247
"138","Tunisia",0.244
"139","New Zealand",0.235
"140","Barbados",0.234
"141","Brunei Darussalam",0.234
"142","Egypt",0.233
"143","Mauritius",0.233
"144","Sweden",0.223
"145","Kazakhstan",0.211
"146","Croatia",0.209
"147","Montenegro",0.207
"148","United Arab Emirates",0.203
"149","Belarus",0.201
"150","Latvia",0.197
"151","Hungary",0.197
"152","Finland",0.195
"153","Australia",0.195
"154","Slovakia",0.194
"155","Canada",0.193
"156","Poland",0.191
"157","Hong Kong Sar, China",0.188
"158","Kuwait",0.185
"159","Iceland",0.181
"160","Bahrain",0.18
"161","Korea Republic of",0.178
"162","Turkey",0.177
"163","Slovenia",0.167
"164","United States of America",0.166
"165","Greece",0.163
"166","Portugal",0.158
"167","Malta",0.158
"168","Netherlands",0.155
"169","Spain",0.151
"170","Norway",0.149
"171","Czech Republic",0.142
"172","Denmark",0.14
"173","Israel",0.129
"174","United Kingdom",0.128
"175","Qatar",0.119
"176","Ireland",0.119
"177","France",0.116
"178","Italy",0.113
"179","Germany",0.111
"180","Switzerland",0.105
"181","Singapore",0.101
"182","Austria",0.097
"183","Luxembourg",0.091
"184","Macao Sar, China",0.08
"185","Belgium",0.08
