old_name,new_name
EMERGING_RISK_HEALTH,Emerging_Health
EMERGING_RISK_FOOD_SECURITY,Emerging_Food Security
EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY,Emerging_Socioeconomic Vulnerability
EMERGING_RISK_MACRO_FISCAL,Emerging_Macro Fiscal
EMERGING_RISK_NATURAL_HAZARDS,Emerging_Natural Hazard
EMERGING_RISK_FRAGILITY_INSTITUTIONS,Emerging_Conflict and Fragility
EMERGING_FLAGS_MED,Emerging_Number of Emerging Threat Flags
UNDERLYING_RISK_HEALTH,Underlying_Health
UNDERLYING_RISK_FOOD_SECURITY,Underlying_Food Security
UNDERLYING_RISK_MACRO_FISCAL,Underlying_Maco Fiscal
UNDERLYING_RISK_SOCIOECONOMIC_VULNERABILITY,Underlying_Socioeconomic Vulnerability
UNDERLYING_RISK_NATURAL_HAZARDS,Underlying_Natural Hazard
UNDERLYING_RISK_FRAGILITY_INSTITUTIONS,Underlying_Conflict and Fragility
OVERALL_HEALTH_GEO,Overall_Health
OVERALL_FOOD_SECURITY_GEO,Overall_Food Security
OVERALL_MACRO_FISCAL_GEO,Overall_Macro Fiscal
OVERALL_SOCIOECONOMIC_VULNERABILITY_GEO,Overall_Socioeconomic Vulnerability
OVERALL_NATURAL_HAZARDS_GEO,Overall_Natural Hazard
OVERALL_FRAGILITY_INSTITUTIONS_GEO,Overall_Conflict and Fragility
OVERALL_FLAGS_GEO_MED,Overall_Number of Overall Alert Flags
RELIABILITY_SCORE_UNDERLYING_RISK,Underlying_Indicator Reliability
RELIABILITY_SCORE_EMERGING_RISK,Emerging_Indicator Reliability
